,codigo_produto
402,90558
403,93575
409,114923
410,115063
429,332307
433,338408
447,351526
2757,104620
8265,112676
9829,128491
16214,35799
16215,37697
16237,43468
16262,50142
16277,66405
16292,71415
16296,77590
16644,117870
16836,148917
16993,292479
17873,4076
20684,34449
23429,70794
31490,86417
34476,89749
39032,90888
42983,93393
43548,95288
44681,95485
58497,118922
70501,1481
71502,6881
105824,84577
128389,104667
141426,128544
171738,153400
171963,173897
172261,316210
172311,320305
172706,320309
173490,20868
174363,49461
176089,84108
176132,85644
176149,93434
177247,112410
177265,114781
177529,115818
177785,128317
179250,244988
179651,334672
187512,181065
191464,333983
191765,333985
199445,10392
199801,73223
200217,73226
201435,111961
202343,397631
203759,103988
205217,104638
208472,155008
213150,153648
213645,153652
215619,153653
217000,153654
217066,312089
231834,109996
242748,49604
250086,79279
257751,98244
260739,100273
263884,102649
272281,102650
273169,102651
279570,107333
283733,107336
286701,112947
288868,112948
295494,114290
297659,117314
298485,120486
298799,120487
302468,149984
303092,149985
303790,149989
310304,181877
310889,181878
314691,312917
315799,364321
317153,388060
318523,405295
319802,8971
321294,26165
326979,49841
330819,63196
330935,63197
341687,80575
345565,81132
401215,87569
415747,90720
416759,92231
418674,92357
424696,93160
432074,306106
444041,12148
449057,114929
449592,130048
449965,165059
450622,324205
467784,102049
467940,108311
468028,122936
485770,108346
486102,115062
486342,115216
486888,147640
487005,147641
487289,158240
488213,212203
488277,214960
488382,252398
488749,283252
488795,311023
488961,338391
489136,338409
489303,338410
494716,108308
494753,110142
512486,219450
518206,265965
521646,265966
530648,304366
531966,304367
535105,308550
540806,313533
541565,324439
543182,324441
546001,333982
549418,333984
557695,382202
559331,382205
568742,95480
581488,20866
581907,39391
581963,39393
582073,61413
582208,79357
582814,103431
583215,132844
583225,147631
584334,97804
584337,97805
584342,102051
584371,115801
584373,161470
584374,161471
584379,238164
584391,287649
584392,287650
584393,394555
588443,367032
590911,415702
593115,86689
593195,102937
594018,102999
594732,275872
596795,130169
597707,130170
598221,130171
598881,130177
599241,154111
599935,154112
600716,155438
601846,172294
602447,172320
602802,316365
604410,391433
610432,117869
620452,112074
621279,10591
643235,324206
645715,397655
650392,97264
651533,99682
653269,100916
655945,108257
658277,112990
658709,112991
659040,114782
659289,115539
660720,129350
663903,150657
664509,164854
702055,341563
703746,353563
705246,353564
710011,132847
710956,93253
711690,130028
711753,130029
714096,206601
769213,92590
777804,93168
780570,94007
781678,94555
786810,94731
788390,95803
790947,96815
795422,96821
797343,96826
803040,97020
807879,98069
808206,98070
809571,98290
811444,98696
837047,99761
848477,101288
850031,101319
852769,102002
858275,232754
867581,387325
874494,101294
876013,101524
904304,353745
915769,91161
923328,102770
936077,104952
942824,391830
943514,401264
945235,401269
946191,405788
950411,322081
952620,100963
953613,165060
953660,165062
956486,378876
956565,378877
956604,378878
957689,114269
958145,280890
960603,6880
972320,57527
978792,94224
982207,95722
984856,98391
985488,101211
988568,103609
989777,104999
991718,109633
991892,109801
992791,109802
992976,111834
993689,114164
995001,114165
996757,115318
997748,117768
1001338,134027
1001661,147962
1002251,161595
1003163,188292
1003341,191789
1003496,196694
1005513,270812
1008461,404149
1009894,129653
1013767,100565
1019713,50082
1019731,114518
1019736,150374
1025193,128647
1025196,128648
1026225,391609
1033920,107331
1048489,364073
1050603,396722
1051636,396723
1065508,108904
1066817,69351
1108797,154547
1141163,155514
1204684,163199
1220708,165133
1234998,166779
1241050,171437
1327596,96654
1456891,102433
1464251,102977
1465103,103038
1482570,103433
1485098,103911
1486583,103912
1496968,105006
1496992,105009
1497129,105010
1502627,69352
1518755,95868
1533657,107964
1536034,108983
1536985,108985
1539824,109214
1540115,109222
1541383,109942
1553975,115413
1555685,119222
1558347,120674
1560276,128031
1561129,128205
1568830,128956
1585777,152114
1595410,178730
1600917,222999
1601287,227818
1609008,252274
1612586,310981
1618617,335821
1619748,335822
1638670,399665
1639312,402585
1651606,61837
1652890,73613
1654914,85116
1665532,105108
1701071,113463
1704715,383616
1708525,132783
1710817,55224
1713812,69297
1715296,74800
1757791,109815
1765525,110163
1770415,111130
1772024,111132
1772795,111133
1772972,111155
1774570,111836
1790887,114027
1823947,114639
1824055,114640
1824127,114641
1824458,114644
1836213,115319
1839679,115586
1842339,117222
1843140,117767
1849903,121164
1876548,130043
1879396,130889
1881557,131014
1881933,131178
1884338,131919
1901036,143077
1901316,143090
1911959,150980
1940095,94769
2000036,114788
2010038,237898
2014541,228599
2014547,228600
2015432,385192
2018688,157846
2036630,290830
2037267,93886
2038319,268907
2040310,286184
2040989,317433
2041824,317436
2043670,108149
2047243,129093
2050557,129095
2051770,156089
2056750,156090
2062443,319013
2067158,388917
2084935,376628
2085415,232162
2085480,381957
2086661,381958
2091415,152118
2091973,152120
2096203,112038
2099526,112042
2101175,112044
2114444,202165
2124268,80366
2217724,201507
2366169,91076
2374831,92983
2378994,97355
2418859,154133
2425595,163273
2427629,329907
2442786,154132
2447098,353732
2746464,196254
2784783,368437
2788843,377090
2808960,66733
2813973,66740
2815286,66741
2828582,79072
2855448,114604
2867374,319321
2874856,259992
2886020,371586
2903744,272697
2905105,307615
2905541,307616
2906766,307618
2911407,397032
2930318,101769
2934662,115800
2960370,287651
2983304,114916
2984046,114917
2990689,195574
2992157,195585
3021139,149558
3022540,149559
3073992,206599
3075595,206600
3078668,206602
3080283,206623
3086806,266809
3087806,266810
3088682,266825
3097382,293317
3100559,293318
3105948,305815
3112815,324403
3115299,324404
3116671,324405
3335746,324820
3341362,324824
3343399,324825
3344798,324826
3349408,325681
3352694,325682
3354765,325684
3364368,353735
3367945,357521
3371730,357522
3372663,357523
3380019,374859
3380771,374870
3391858,405631
3393002,405637
3394047,405638
3395898,405675
3396227,405676
3396700,405677
3447440,152749
3466663,114645
3696484,341413
3697798,353604
3699108,365704
3738956,128645
3796724,93486
3857339,371585
3862412,371587
3864043,371590
3864674,371591
3865967,371598
3866511,371599
3867574,371601
3868414,386856
3868601,386857
3869067,386859
3870425,60605
3872735,72936
3875117,100626
3886171,100859
3888807,108078
4051882,384627
4182992,155185
4187660,374091
4206407,368436
4237385,98064
4242450,101797
4250310,113462
4275349,195146
4276094,195147
4277213,195148
4278185,208371
4287025,309020
4290707,339781
4335792,80787
4336757,101537
4364858,100359
4366518,104688
4383178,86161
4386220,94582
4393402,113386
4395289,113387
4400148,131550
4401981,131553
4404137,131562
4417773,148837
4419369,148839
4463879,356627
4504398,372089
4517757,387409
4522028,157700
4549561,397121
4549914,397122
4550141,397123
4551515,397129
4553164,397138
4556918,397139
4558721,397140
4559834,397145
4561298,397168
4561400,397169
4599023,253498
4623930,80284
4626778,80285
